"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"DWP60","SUE MOORE","SCS2","Senior Responsible Owner for the Personal Independence Programme","The PIP Programme Team is responsible for the following areas: 
1. PIP policy, including legislation 
2. DLA and AFIP policy maintenance, including exportability 
3. HMT and PPM liaison, including fiscal events and welfare cap mitigations 
4. Internal liaison with:
a. PIP Programme: policy input into performance improvements
b. HSD and commercial liaison
c. OED, including input into case manager training and guidance 
5. Governments's relationship with Motability 
6. Devolution of benefits 
7. Government's response to PIP Independent Reviews 
8. PQs, Correspondence and Briefing 
9. Reform of PIP and DLA","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP202","0","1.00","100000","104999","","Operational Delivery","Team is too small, costs have been reported under (DWP249)","1"
"DWP448","Susan Park","SCS3","Director General, UC Operations","UC Area Director is accountable nationally for the preparation, expansion and successful delivery of UC in Job Centres and Service Centres, working with the UC Programme in the future design and expansion of services.","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP202","480578","1.00","135000","139999","","Operational Delivery","","1"
"DWP130","N/D","SCS1","HR Director for Strategy Group","Responsible for providing strategic HR advice and support to the Strategy Group in addressing business requirements. Implementing strategies to deliver the right people in the right place at the right time with the right skills and to increase organisational performance and effectiveness.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP127","2348923","1.00","65000","69999","","Human Resources","","1"
"DWP120","N/D","SCS1","HR Director, Finance & Commercial","To provide strategic Human Resources expertise to the business. To help them structure themselves in the most effective way and deliver the business with the right people, with the right capability at the most effective cost.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP127","416625","1.00","65000","69999","","Human Resources","","1"
"DWP123","Debbie Alder","SCS3","Director General, Human Resources","Responsible for delivering an HR service to the Department’s 90,000 employees and management. To ensure that this HR service is cost-effective and supports the customer-focused delivery of the Department’s activities.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP135","0","1.00","125000","129999","","Human Resources","","1"
"0","N/D","SCS1","Not in Post","N/A","Department for Work and Pensions","Department for Work and Pensions","N/A","N/A","N/A","DWP124","0","0.65","95000","99999","","Human Resources","On parental leave","1"
"DWP504","N/D","SCS1","Deputy Director, DWP HR Operations","Providing an HRBP service for Operational Excellence Directorate","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP128","2014814","1.00","70000","74999","","Human Resources","","1"
"DWP119","N/D","SCS1","HR Deputy Director Universal Credit","HR Director providing strategic Business Partner support to the Universal Credit Director General & the Programme.The HR function provides both a HRBP service to the Programme, ensuring the programme is the right size with the right capabilities & “fit” to deliver its plan. In addition the team will form part of the Business Transformation by leading on diagnosing, designing & delivering the organisation & people elements of change driven by Universal Credit.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP128","2866611","1.00","70000","74999","","Human Resources","","1"
"DWP127","Ian Pavey","SCS2","HR Director Corporate Centre","To provide appropriate HR interventions to enable the delivery of the department's major change programmes, to manage the people impacts of change and the delivery of the people plan. Also to provide HR Business partner services to the Change functions and programmes.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP123","760466","1.00","115000","119999","","Human Resources","","1"
"DWP129","N/D","SCS1","HR Director, IT","Responsible for the HR & Professional Capability function within DWP IT. Also sits on the IT Executive Team to help influence and shape the people agenda & to ensure that it is delivered in line with operational business needs.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP127","1326825","1.00","70000","74999","","Human Resources","","1"
"DWP298","Jonathan Russell","SCS2","Director HR Services","Responsible for (1) the development & delivery of HR Policy including Pay & Reward strategy; (2) the provision of services on HR performance & resource planning, business & HR management intelligence; (3) the management of a range of departmental health/ wellbeing contracts covering 17 Govt Departments; (4) the leadership of the DWP HR Casework Service, Reasonable Adjustments Team & the HR Mediation/ Investigation Service; (5) the lead on Employee Relations and Health & Safety; (6) to ensure effective & efficient provision of services provided by Shared Services in DWP & X-government & compliance to Departmental governance & assurance requirements; the effective & efficient service provision from Civil Service Learning; Civil Service Resourcing, MyCSP & (7) to oversee the strategic direction & delivery of the DWP & cross-Civil Service Diversity & Equality agenda.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP123","5092681","1.00","95000","99999","","Human Resources","","1"
"DWP124","JULIE PINDER","SCS2","HR Director Strategy, Organisation
Development & ED","HR Strategy Director whose portfolio includes Organisation Design & Development and Employee Deal ensuring the department has the leadership and talent pipelines to lead a flexible, engaged and capable workforce that is fit for the future.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP123","250847","1.00","95000","99999","","Human Resources","","1"
"DWP311","N/D","SCS1","Deputy Director, Organisation Capability","Ensures organisation has current and future professional and leadership capability; specifically building capability needs into strategic workforce planning, promoting blended professional and personal learning, strengthening and diversifying the talent pipeline and utilising the full range of apprenticeships for current and future employees","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP124","1263080","0.60","70000","74999","","Human Resources","Job Share","1"
"DWP128","Lorraine Jainudeen","SCS2","HR Director DWP Operations","The HR Director Operations' accountability is to contribute to the delivery of the Operational Business Targets through the provision of HR business partner services and the implementation of the people strategy.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP123","322135","1.00","105000","109999","","Human Resources","","1"
"DWP412","N/D","SCS1","Deputy Director, HR Services","Head of Specialist Recruitment Team, Workforce Planning, Resourcing and Transfer team, Strategic Workforce Planning Team, Supplier Management Team","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP298","2090823","0.92","70000","74999","","Human Resources","","1"
"DWP311","N/D","SCS1","Deputy Director, Organisation Capability","Ensures organisation has current and future professional and leadership capability; specifically building capability needs into strategic workforce planning, promoting blended professional and personal learning, strengthening and diversifying the talent pipeline and utilising the full range of apprenticeships for current and future employees","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 7340 4339","hr@dwp.gsi.gov.uk","DWP124","1263080","1.00","0","0","","Human Resources","Job Share - parental leave cover","1"
"DWP376","N/D","SCS1","Head of Products and Performance","As Head of BSD Performance and Products Team the role involves leading performance improvement activity across the directorate, driving improved quality, efficiency and speed of delivery of all working age and disability benefits within Benefit Services Directorate. As product lead I have responsibility for developing all service lines delivered within BSD, ensuring that PIP, ESA, DLA, JSA, IS and all other benefits in the portfolio are as effective as possible and delivering appropriate levels of customer service.","Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP379","82955169","1.00","65000","69999","","Operational Delivery","","1"
"DWP449","N/D","SCS1","Head of ESA Delivery","As Head of ESA operations the role involves leading a team of 5.5k staff delivering key front line services to 2.4 million ESA customers through taking new claims and enquiry calls, processing claimant applications and changes in circumstances and delivering decision outcomes following a WCA (Work Capability Assessment).  It also involves accountability for performance improvement activity across ESA, driving improved quality and the efficiency and speed of delivery for ESA within Working Age Directorate.","Department for Work and Pensions","Department for Work and Pensions","Operations - Working Age","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP379","127375534","1.00","0","0","","Operational Delivery","","1"
